Star,RA,DEC,Kmag
L06-01,04 08 07.82,+28 07 28.0,11.387
Anon1,04 13 27.22 ,+28 16 24.7 ,7.5
V773Tau,04 14 12.91 ,+28 12 12.4 ,6.2
CIDA2,04 15 05.16 ,+28 08 46.2 ,9.1
LkCa5,04 17 38.94 ,+28 33 00.5 ,9.1
V410 X-ray3,04 18 07.96,+28 26 03.7,10.5
V892Tau,04 18 40.62 ,+28 19 15.5 ,6.8
Hubble4,04 18 47.04,+28 20 07.3,7.3
V410 X-ray6,04 19 01.11,+28 19 42.0,9.1
LkCa21,04 22 03.13,+28 25 38.9,8.5
J1-507,04 29 20.71,+26 33 40.6,8.8
DITau,04 29 42.47,+26 32 49.3,8.4
ZZTau,04 30 51.37,+24 42 22.2,8.4
V827Tau,04 32 14.56,+18 20 14.7,8.2
MHO Tau 8,04 33 01.97,+24 21 00.0,9.7
V807_Ba_Bb,04 33 06.64,+24 09 54.9,6.7
XEST-08-003,04 34 56.91,+22 58 35.9,9.3
FFTau,04 35 20.90,+22 54 24.3,8.6
HQTau,04 35 47.34,+22 50 21.7,7.1
HP Tau G3,04 35 53.50,+22 54 09.0,8.8
HVTau,04 38 35.28,+26 10 38.6,7.9
CoKu Tau/4,04 41 16.81,+28 40 00.0,8.656
CIDA14,04 43 20.23,+29 40 06.0,9.4
RX J04467+2459,04 46 42.60,+24 59 03.4,10.34
HBC 427,04 56 02.01,+30 21 03.7,8.1
CIDA10,05 06 16.74,+24 46 10.2,9.8
SR20,"16 28 32.66	",-24 22 44.9,6.9
ScoPMS019,"15 59 59.96	",-22 20 36.8,8.6
ScoPMS027,"16 04 47.76	",-19 30 23.1,9
P98-13,"15 35 57.80	",-23 24 04.6,9.4
Oph010,"16 25 28.63	",-23 46 26.5,7.8
K99-46,"15 50 04.99	",-23 11 53.7,8.9
K99-80,"16 01 58.23	",-20 08 12.2,7.7
P02-065,"16 05 17.92	",-20 24 19.6,9.1
P98-44,"16 08 14.74	",-19 08 32.7,8.4
P98-75,"16 24 51.36	",-22 39 32.5,7.1
ScoPMS017,"15 57 34.30	",-23 21 12.3,9
ROXs 47A,"16 32 11.79	",-24 40 21.4,7.9